,Country/Region,inhabitants,area
0,US,325386357,9833520
1,Germany,83792987,357386
2,France,65227357,551695
3,Belgium,11579502,30510
4,Netherlands,17123478,41198
5,Switzerland,8637694,41290
6,Italy,60496082,301338
7,Spain,46767543,498511
8,United Kingdom,67803450,242495
9,Portugal,10205235,91568
10,Austria,8999973,83858
11,Ireland,4927661,70273
12,China,1439323776,9388211
13,South Korea,51269185,97230
14,Iran,83992949,1628550
15,Luxembourg,625978,2590
16,Poland,37864109,312685
17,Turkey,84200851,783562
18,Greece,10439436,131940
19,Brazil,212559417,8358140
20,Mexico,128932753,1943950
